language,model,category,overall_accuracy,disambig_accuracy,ambig_accuracy
ENG,DeekSeekv3,Age,80.14,98.97,61.3
ENG,DeekSeekv3,Disability_status,88.04,93.91,82.17
ENG,DeekSeekv3,ENG-linguistic(language_formality_biases),32.95,36.36,29.55
ENG,DeekSeekv3,Gender_identity,95.76,98.55,92.97
ENG,DeekSeekv3,Physical_appearance,86.62,82.46,90.79
ENG,DeekSeekv3,Regional,69.28,80.3,58.26
ENG,DeekSeekv3,Religion,53.75,69.5,38.0
ENG,DeekSeekv3,SES,82.24,89.67,74.81
ENG,gemini-2.0-flash-lite,Age,86.03,97.47,74.59
ENG,gemini-2.0-flash-lite,Disability_status,90.65,92.17,89.13
ENG,gemini-2.0-flash-lite,ENG-linguistic(language_formality_biases),35.23,40.91,29.55
ENG,gemini-2.0-flash-lite,Gender_identity,95.17,97.87,92.46
ENG,gemini-2.0-flash-lite,Physical_appearance,87.94,81.73,94.15
ENG,gemini-2.0-flash-lite,Regional,74.05,79.45,68.64
ENG,gemini-2.0-flash-lite,Religion,70.5,77.5,63.5
ENG,gemini-2.0-flash-lite,SES,85.61,90.68,80.53
ENG,gemini-2.0-flash,Age,84.14,96.51,71.78
ENG,gemini-2.0-flash,Disability_status,92.39,90.29,94.49
ENG,gemini-2.0-flash,ENG-linguistic(language_formality_biases),28.41,36.36,20.45
ENG,gemini-2.0-flash,Gender_identity,93.51,92.04,94.97
ENG,gemini-2.0-flash,Physical_appearance,88.3,78.51,98.1
ENG,gemini-2.0-flash,Regional,73.94,75.21,72.67
ENG,gemini-2.0-flash,Religion,56.5,66.0,47.0
ENG,gemini-2.0-flash,SES,76.28,74.85,77.71
ENG,GPT4.1-Mini,Age,80.03,99.59,60.48
ENG,GPT4.1-Mini,Disability_status,86.16,94.64,77.68
ENG,GPT4.1-Mini,ENG-linguistic(language_formality_biases),25.0,43.18,6.82
ENG,GPT4.1-Mini,Gender_identity,90.48,99.15,81.81
ENG,GPT4.1-Mini,Physical_appearance,87.72,82.16,93.27
ENG,GPT4.1-Mini,Regional,74.36,77.54,71.19
ENG,GPT4.1-Mini,Religion,67.0,73.0,61.0
ENG,GPT4.1-Mini,SES,77.84,87.52,68.16
ENG,GPT4.1-Nano,Age,75.89,88.49,63.29
ENG,GPT4.1-Nano,Disability_status,75.87,79.28,72.46
ENG,GPT4.1-Nano,ENG-linguistic(language_formality_biases),40.91,50.0,31.82
ENG,GPT4.1-Nano,Gender_identity,86.54,87.95,85.14
ENG,GPT4.1-Nano,Physical_appearance,74.78,66.37,83.19
ENG,GPT4.1-Nano,Regional,73.41,79.03,67.8
ENG,GPT4.1-Nano,Religion,71.75,78.0,65.5
ENG,GPT4.1-Nano,SES,81.65,87.52,75.78
ENG,GPT4.1,Age,79.76,99.18,60.34
ENG,GPT4.1,Disability_status,80.8,94.2,67.39
ENG,GPT4.1,ENG-linguistic(language_formality_biases),25.0,38.64,11.36
ENG,GPT4.1,Gender_identity,95.0,99.06,90.93
ENG,GPT4.1,Physical_appearance,86.26,81.29,91.23
